,name,categories,lat,lng,Estrato
0,SCA Virtual Store,Mobile Phone Shop,4.555532671122051,-74.09337133169173,2
1,Tiendas Metro 20 De Julio,Grocery Store,4.569345626207856,-74.0999051646433,3
2,McDonald's,Fast Food Restaurant,4.591000898772222,-74.12448360075756,3
3,Falabella,Department Store,4.591824121518672,-74.12485057957849,3
4,Tiendas Metro Alquería,Department Store,4.602610830951743,-74.13376991692033,3
5,McDonald's,Burger Joint,4.601480066438231,-74.12785265287118,3
6,McDonald's,Burger Joint,4.605562281941046,-74.0715258848725,3
7,Adidas Performance Store,Sporting Goods Shop,4.6116118168045706,-74.14070954780041,3
8,Starbucks,Coffee Shop,4.6153951048372805,-74.06988859176636,4
9,McDonald's,Fast Food Restaurant,4.618840797345904,-74.13558755487828,3
10,Adidas Outlet Store,Sporting Goods Shop,4.61838,-74.08635600000002,3
11,McDonald's,Burger Joint,4.618001537935117,-74.08599243794019,3
12,Domino's Pizza,Pizza Place,4.622980131663732,-74.15408734784303,3
13,McDonald's,Fast Food Restaurant,4.622238912066078,-74.07023812523562,4
14,Metro Bosa el Recreo,Shopping Mall,4.6302759482260925,-74.19378501793264,2
15,Adidas Outlet Store,Sporting Goods Shop,4.6292092,-74.11681429999999,3
16,Nike Outlet Américas,Sporting Goods Shop,4.629090180241263,-74.11481947395878,3
17,Hilton,Hotel,4.628499,-74.091045,3
18,Falabella,Department Store,4.633061389383339,-74.11398056818767,3
19,Domino's Pizza,Pizza Place,4.631811108219455,-74.06408160102369,4
20,McDonald's,Fast Food Restaurant,4.639597406678732,-74.06529452324726,4
21,Domino's Pizza,Pizza Place,4.643826606441152,-74.06638888145395,3
22,Starbucks,Coffee Shop,4.64710437906235,-74.10165043376922,5
23,Sony Store,Electronics Store,4.6475519579685525,-74.10127824863625,4
24,Western Union,Department Store,4.650758384577787,-74.0962743915815,4
25,Falabella,Department Store,4.6532253879499255,-74.12518987949522,4
26,McDonald's,Fast Food Restaurant,4.652875037539387,-74.10853109011668,4
27,McDonald's,Burger Joint,4.6634403873616534,-74.13198278306325,4
28,Tienda Adidas,Sporting Goods Shop,4.66348,-74.13038,4
29,Falabella,Department Store,4.663417727402667,-74.13004334628295,4
30,Domino's Pizza Modelia,Pizza Place,4.664290906567512,-74.12818862616452,4
31,Starbucks,Coffee Shop,4.667284739572538,-74.05250832668281,5
32,Adidas Performance Store,Sporting Goods Shop,4.6668458,-74.0529923,5
33,McDonald's,Fast Food Restaurant,4.670167260283457,-74.06388751360792,4
34,Hilton Garden Inn,Hotel,4.673328,-74.117631,4
35,Starbucks,Coffee Shop,4.6770160628015285,-74.0492059334038,6
36,Starbucks,Coffee Shop,4.678100815677576,-74.04541298837998,6
37,Tiendas Metro Fontibón,Grocery Store,4.681137456186411,-74.15197942437331,3
38,McDonald's,Fast Food Restaurant,4.681622828586157,-74.09313692239735,3
39,DoubleTree by Hilton,Hotel,4.680639547659999,-74.0462748847,6
40,Starbucks,Coffee Shop,4.6810127131808414,-74.04073542674381,6
41,Starbucks,Coffee Shop,4.683709452337445,-74.119980845504,3
42,Yamaha Motor Uno Ltda,Motorcycle Shop,4.683857339101088,-74.09705444892624,3
43,Droguería Olímpica Petrobras Av C. de Cali,Department Store,4.68737501630986,-74.11083110476525,3
44,Nike Factory Store,Sporting Goods Shop,4.687914894657507,-74.07350608229328,4
45,Domino's Pizza,Pizza Place,4.690749078634278,-74.09284147056323,3
46,Falabella,Department Store,4.694304931617563,-74.08594685712175,4
47,Hotel Obelisco Apartamentos - Travelers Apartamentos y Suites,Hotel,4.6945814496101,-74.03879520250548,6
48,Starbucks,Coffee Shop,4.6953269765153225,-74.0311750134962,3
49,Hampton Inn by Hilton,Hotel,4.695670370973608,-74.03198641189479,3
50,American Airlines Check-In,Airport Terminal,4.697868110817833,-74.14052456617354,6
51,Falabella,Department Store,4.7011863237875815,-74.11581161081409,3
52,McDonald's,Fast Food Restaurant,4.701060068410743,-74.11577979457195,3
53,Flex Gym,Gym,4.7021647968655085,-74.05896321886706,5
54,Falabella,Department Store,4.701246203119781,-74.04207831087955,5
55,Nike Unicentro,Sporting Goods Shop,4.7025184276173295,-74.04138123365088,6
56,McDonald's,Burger Joint,4.705307248195319,-74.06116847042814,5
57,McDonald's,Fast Food Restaurant,4.705602920264268,-74.05332069347585,5
58,Travelers Fontana Plaza,Bed & Breakfast,4.7054847958727555,-74.0426657600813,6
59,McDonald's,Burger Joint,4.711589790746442,-74.07814862008554,5
60,Deluchi Pizza Por Metro Bulevar,Pizza Place,4.711958558863492,-74.07104697275892,5
61,McDonald's,Fast Food Restaurant,4.711828647263354,-74.07183966046608,5
62,Domino's Pizza,Pizza Place,4.715993,-74.057229,3
63,Domino's Pizza,Pizza Place,4.71920997337388,-74.06830382178782,3
64,McDonald's,Burger Joint,4.719814606138465,-74.05240244563112,3
65,Domino's Pizza,Pizza Place,4.719733143688258,-74.04699363239226,5
66,Adidas Outlet,Shoe Store,4.7194918,-74.0368186,4
67,McDonald's,Fast Food Restaurant,4.718148867717503,-74.03523638656338,4
68,Nike Andino,Clothing Store,4.722110414150608,-74.07312930896707,3
69,Falabella,Department Store,4.733758516579118,-74.06627568405678,5
70,Starbucks,Coffee Shop,4.733293247349711,-74.06631718621185,5
71,Domino's Pizza,Pizza Place,4.739756779389572,-74.0389679298179,3
72,Adidas Outlet,Sporting Goods Shop,4.746917,-74.044969,3
73,McDonald's,American Restaurant,4.7530700632191385,-74.09778861759014,3
74,Petrobras Yomasa,Gas Station,4.506361001404672,-74.10797595977783,2
75,McDonald's,Fast Food Restaurant,4.57832965192537,-74.13041033937334,3
76,Metro Perdomo,Department Store,4.589861155688502,-74.16654108387179,2
77,Tiendas Metro Autopista Sur,Supermarket,4.5970084922305885,-74.16658121887313,2
78,Renault Autostok,Auto Dealership,4.595902914706398,-74.15819281520726,3
79,Metro AK 68,Market,4.600398786936221,-74.13469409915093,3
80,Domino's Pizza,Pizza Place,4.602982825216387,-74.10146407011216,3
81,McDonald's,Ice Cream Shop,4.611004581651505,-74.12865551787147,3
82,McDonald's,Fast Food Restaurant,4.614151741856434,-74.13514402019545,3
83,McDonald's,Burger Joint,4.620910182556527,-74.15180449606852,3
84,Adidas store calima,Sporting Goods Shop,4.628099444965816,-74.08059799546577,4
85,Metro Milenio Plaza,Grocery Store,4.630986851852437,-74.16805744171144,2
86,Domino's Pizza,Pizza Place,4.637329677928953,-74.13893187185089,3
87,Falabella,Department Store,4.642376612932831,-74.0746087079305,3
88,McDonald's,Fast Food Restaurant,4.641964784301996,-74.07466568451073,3
89,Domino's Pizza Esmeralda,Pizza Place,4.644698,-74.091673,4
90,Starbucks,Coffee Shop,4.651284644290602,-74.05909642559236,3
91,Starbucks,Coffee Shop,4.651548236807173,-74.05532920854186,5
92,Hilton,Hotel,4.655634813275069,-74.0551451548483,4
93,McDonald's,Burger Joint,4.662218313726411,-74.1394995922888,4
94,Hampton by Hilton,Hotel,4.6686788,-74.114239,4
95,Restaurante El Santandereano,South American Restaurant,4.673129174625641,-74.10877212675497,4
96,Bancolombia Dorado Plaza,Bank,4.676175487600916,-74.1180574225594,4
97,McDonald's,Burger Joint,4.675961524419076,-74.08876596447627,3
98,Falabella de Colombia S.A,Coworking Space,4.682463748021188,-74.0449420123793,6
99,McDonald's,Fast Food Restaurant,4.686801796118876,-74.07527969133528,4
100,DoubleTree by Hilton,Hotel,4.6854648236858365,-74.05448604398738,6
101,Pernod Ricard Colombia,Office,4.689028534273207,-74.05230755071324,6
102,McDonald's,Burger Joint,4.693854423103646,-74.05528242781544,6
103,Starbucks,Coffee Shop,4.692408297439339,-74.03438396982473,6
104,Starbucks,Coffee Shop,4.6974642185367985,-74.14249572486129,6
105,Starbucks,Coffee Shop,4.697270693184301,-74.04636402406534,6
106,Domino's Pizza,Pizza Place,4.6998744443844105,-74.07851273050615,5
107,McDonald's,American Restaurant,4.699649721096253,-74.0774258475067,4
108,McDonald's,Burger Joint,4.70041689144062,-74.07278512274691,4
109,Adidas Sport Performance Store,Sporting Goods Shop,4.7007774000000015,-74.04455440000002,6
110,Metro 127,Shopping Mall,4.703922031438048,-74.04308035250253,6
111,McDonald's,Fast Food Restaurant,4.710899220475086,-74.11185156473718,3
112,Nike outlet,Sporting Goods Shop,4.717897559954051,-74.04686752368526,5
113,McDonald's,Fast Food Restaurant,4.718019841175291,-74.03235503205649,4
114,McDonald's,Fast Food Restaurant,4.728249740933074,-74.06415165604002,5
115,Adidas Originals,Sporting Goods Shop,4.7322489,-74.0665405,5
116,Domino's Pizza,Pizza Place,4.731197049321723,-74.0502427468467,4
117,McDonald's,Fast Food Restaurant,4.737471291229827,-74.08481262525694,3
118,McDonald's,Burger Joint,4.738131370344777,-74.03890266376096,4
119,Falabella,Department Store,4.762008592235117,-74.0471630649438,4
120,McDonald's,Burger Joint,4.772958958976528,-74.0422213660988,2
